151 inputLayer: 5 6 -0.57521 0.171936 -0.053527 6 0.672677 -0.180402 0.062704 1 -0.883961 1.212226 -0.077359 1 -1.375299 -0.565318 -0.133025 1 1.254643 -1.085955 0.113077 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -485.0911016704631 :outputLayer 
177 inputLayer: 16 6 0.721976 0.138272 -0.020659 6 -0.484929 -0.552839 0.026184 6 -0.494804 -1.936746 0.074179 6 0.708583 -2.632326 0.062156 6 1.913221 -1.942623 0.002032 6 1.921535 -0.553223 -0.039463 7 -1.787492 0.134139 -0.077331 1 -1.443404 -2.450653 0.105486 1 0.700022 -3.712192 0.093091 1 2.849631 -2.481366 -0.006193 1 2.844927 0.004711 -0.071648 7 0.787226 1.611376 0.053004 8 0.057332 2.156548 0.86439 8 1.605041 2.163113 -0.666742 8 -1.874144 1.033544 -0.89707 8 -2.690254 -0.28708 0.629109 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -2166.1359986884054 :outputLayer 
178 inputLayer: 16 6 0.698433 0.965108 -0.050664 6 -0.494761 0.267751 0.035848 6 -0.421481 -1.115034 0.029575 6 0.785937 -1.795191 -0.058853 6 1.963352 -1.062617 -0.144571 6 1.928074 0.32629 -0.141132 1 -1.440053 0.779352 0.105156 7 -1.678001 -1.891432 0.120762 1 0.787889 -2.873633 -0.05945 1 2.911202 -1.575609 -0.214174 1 2.828337 0.916445 -0.206599 7 0.65637 2.444354 -0.045813 8 -0.440358 2.976715 0.038431 8 1.724125 3.036071 -0.126536 8 -2.724164 -1.264033 0.193116 8 -1.585025 -3.111309 0.117581 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -2173.9968805895187 :outputLayer 
179 inputLayer: 16 6 -0.036723 1.358075 -0.074876 6 -1.233012 0.663369 0.037914 6 -1.195406 -0.720504 0.117036 6 0.036975 -1.357853 0.078705 6 1.233263 -0.66315 -0.034137 6 1.195761 0.720823 -0.111532 1 -2.165855 1.20314 0.062411 1 -2.097702 -1.303642 0.20625 7 0.07699 -2.836523 0.160771 1 2.166045 -1.202974 -0.059656 1 2.098143 1.304037 -0.19934 7 -0.076946 2.836565 -0.160029 8 -1.17627 3.37161 -0.140427 8 0.991755 3.424717 -0.244433 8 -0.989931 -3.422814 0.275256 8 1.174267 -3.373578 0.108519 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -2174.0626765004126 :outputLayer 
180 inputLayer: 16 6 0.712625 0.187691 -0.057536 6 -0.523119 -0.518985 0.062425 6 -0.486978 -1.916029 0.225165 6 0.696972 -2.613941 0.152985 6 1.904646 -1.925013 -0.090992 6 1.901615 -0.552392 -0.191253 7 -1.793774 0.072714 -0.161443 1 -1.431754 -2.420101 0.355375 1 0.693244 -3.691202 0.254632 1 2.837223 -2.467988 -0.170379 1 2.815585 0.005495 -0.322055 7 0.842095 1.587635 0.139497 8 -0.036341 2.186984 0.786508 8 1.876095 2.158779 -0.304228 8 -1.85863 1.122887 -0.826791 8 -2.815039 -0.523883 0.278616 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -2261.7420159474714 :outputLayer 
181 inputLayer: 16 6 0.696858 0.985941 -0.050466 6 -0.486152 0.263143 0.035296 6 -0.439669 -1.125099 0.030905 6 0.796511 -1.812353 -0.059555 6 1.962477 -1.062058 -0.144451 6 1.948171 0.326945 -0.142641 1 -1.430891 0.774465 0.104611 7 -1.660505 -1.858155 0.119547 1 0.802701 -2.88899 -0.060416 1 2.913004 -1.576466 -0.214259 1 2.849176 0.91258 -0.208287 7 0.638258 2.411342 -0.044638 8 -0.472776 2.98613 0.039814 8 1.721807 3.039065 -0.125718 8 -2.749901 -1.242123 0.196089 8 -1.589194 -3.111138 0.116845 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -2264.509031334601 :outputLayer 
182 inputLayer: 16 6 -0.037737 1.393464 -0.077543 6 -1.235592 0.656625 0.037734 6 -1.198395 -0.714007 0.115349 6 0.037886 -1.393313 0.080044 6 1.235721 -0.65649 -0.035617 6 1.198528 0.714153 -0.113016 1 -2.170435 1.193152 0.062861 1 -2.102895 -1.294007 0.204254 7 0.076086 -2.799965 0.160034 1 2.170525 -1.193061 -0.061348 1 2.103071 1.294181 -0.201245 7 -0.075876 2.800169 -0.156641 8 -1.192057 3.380411 -0.123059 8 1.007414 3.432433 -0.258397 8 -1.007128 -3.432181 0.263197 8 1.192238 -3.380265 0.125824 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -2274.024387721147 :outputLayer 
184 inputLayer: 7 6 -0.688066 0.101877 -0.11838 6 0.782054 0.037838 0.079544 1 -1.005798 1.080757 -0.506655 1 -1.231151 -0.048695 0.816274 1 -1.034126 -0.641275 -0.838905 1 1.234901 0.382997 0.997383 1 1.440703 -0.236011 -0.731517 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -618.1738214753132 :outputLayer 
201 inputLayer: 16 6 0.704828 0.415545 -0.006171 6 -0.454702 -0.368599 0.015205 6 -0.41043 -1.754188 -0.029872 6 0.822384 -2.390632 -0.071845 6 1.993127 -1.638308 -0.081548 6 1.929766 -0.252502 -0.05759 6 0.733846 1.913104 -0.075822 8 1.731283 2.542866 0.182762 1 -0.181257 2.41483 -0.413843 7 -1.789031 0.250241 0.140271 1 -1.333681 -2.3119 -0.015958 1 0.865945 -3.470255 -0.09219 1 2.954078 -2.132213 -0.115139 1 2.827221 0.348543 -0.086252 8 -1.863886 1.318031 0.738553 8 -2.73825 -0.349474 -0.344779 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -2159.655196632142 :outputLayer 
202 inputLayer: 16 6 0.682136 1.291062 0.012852 6 -0.502884 0.560826 0.024429 6 -0.434167 -0.823352 -0.007555 6 0.777734 -1.497731 -0.050359 6 1.957402 -0.758705 -0.061341 6 1.912832 0.62688 -0.030097 6 0.622129 2.773355 0.046209 8 1.592012 3.492778 0.038196 1 -0.399738 3.196783 0.080048 1 -1.465455 1.049626 0.057483 7 -1.68893 -1.602557 0.004173 1 0.784226 -2.576032 -0.074188 1 2.907701 -1.271871 -0.094429 1 2.818467 1.216909 -0.038203 8 -1.598295 -2.822462 -0.027417 8 -2.741409 -0.978566 0.044766 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 :inputLayer  outputLayer: -2165.519987961685 :outputLayer 
