0 1.205032e-06    -722.820981    -722.819883
1 1.192449e-06    -722.820954    -722.819862
2 1.306201e-06    -722.820922    -722.819779
3 1.768021e-06    -722.821074    -722.819744
4 1.477820e-06    -722.821044    -722.819828
5 9.412863e-07    -722.821021    -722.820051
6 3.882678e-07    -722.821009    -722.820386
7 5.646120e-08    -722.821009    -722.820771
8 1.437305e-08    -722.821019    -722.821139
9 3.878305e-07    -722.820854    -722.821477
10 9.865469e-07    -722.820878    -722.821871
11 2.432169e-06    -722.820901    -722.822461
12 5.635887e-06    -722.820921    -722.823295
13 1.063505e-05    -722.820933    -722.824194
14 1.477816e-05    -722.820935    -722.824779
15 1.423830e-05    -722.820926    -722.824699
16 8.878350e-06    -722.820905    -722.823885
17 3.130902e-06    -722.820875    -722.822644
18 4.600047e-07    -722.820835    -722.821513
19 3.156898e-08    -722.820788    -722.820966
20 1.742816e-07    -722.820739    -722.821156
21 9.792990e-07    -722.820873    -722.821863
22 3.324056e-06    -722.820828    -722.822651
23 5.275279e-06    -722.820790    -722.823087
24 4.610120e-06    -722.820763    -722.822910
25 1.720158e-06    -722.820746    -722.822058
26 5.642246e-10    -722.820740    -722.820716
27 2.178824e-06    -722.820740    -722.819264
28 6.537360e-06    -722.820744    -722.818187
29 8.302022e-06    -722.820747    -722.817866
30 5.629836e-06    -722.820748    -722.818375
31 1.818470e-06    -722.820744    -722.819395
32 1.152193e-07    -722.820734    -722.820395
33 3.123343e-08    -722.820721    -722.820898
34 8.581762e-10    -722.820705    -722.820676
35 8.101536e-07    -722.820688    -722.819788
36 4.671555e-06    -722.820671    -722.818510
37 1.171737e-05    -722.820657    -722.817234
38 1.836231e-05    -722.820647    -722.816362
39 1.975349e-05    -722.820643    -722.816199
40 1.451432e-05    -722.820648    -722.816838
41 6.584002e-06    -722.820661    -722.818095
42 1.247660e-06    -722.820683    -722.819566
43 1.129100e-08    -722.820713    -722.820819
44 7.555430e-07    -722.820748    -722.821617
45 1.567938e-06    -722.820785    -722.822037
46 2.351840e-06    -722.820820    -722.822354
47 3.752811e-06    -722.820852    -722.822789
48 5.976392e-06    -722.820877    -722.823322
49 8.071907e-06    -722.820897    -722.823738
50 8.600629e-06    -722.820911    -722.823844
51 7.338160e-06    -722.820922    -722.823631
52 5.456837e-06    -722.820931    -722.823267
53 4.104696e-06    -722.820940    -722.822966
54 3.583328e-06    -722.820951    -722.822844
55 3.560706e-06    -722.820966    -722.822853
56 3.361922e-06    -722.820986    -722.822820
57 2.362193e-06    -722.821013    -722.822550
58 8.109151e-07    -722.821045    -722.821946
59 4.039096e-10    -722.821082    -722.821062
60 1.050542e-06    -722.821120    -722.820095
61 3.482682e-06    -722.821155    -722.819289
62 5.141869e-06    -722.821184    -722.818916
63 4.298637e-06    -722.821201    -722.819128
64 1.835944e-06    -722.821206    -722.819851
65 1.926218e-07    -722.821197    -722.820758
66 4.441982e-08    -722.821175    -722.821386
